cell_id,czi,series_id,cell_seg_id,condition,cell_type,structure,scope,minipipeline
20181107_R04-Scene-01-P51-B04_seg_0_cid_1,20181107_R04.czi,0,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-01-P51-B04_seg_0_cid_2,20181107_R04.czi,0,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-02-P52-B04_seg_0_cid_1,20181107_R04.czi,1,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-02-P52-B04_seg_0_cid_2,20181107_R04.czi,1,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-03-P53-B04_seg_0_cid_1,20181107_R04.czi,2,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-03-P53-B04_seg_0_cid_2,20181107_R04.czi,2,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-04-P62-B04_seg_0_cid_1,20181107_R04.czi,3,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-04-P62-B04_seg_0_cid_2,20181107_R04.czi,3,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-05-P54-B04_seg_0_cid_1,20181107_R04.czi,4,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-05-P54-B04_seg_0_cid_2,20181107_R04.czi,4,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-07-P70-B04_seg_0_cid_1,20181107_R04.czi,6,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-07-P70-B04_seg_0_cid_2,20181107_R04.czi,6,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-08-P61-B04_seg_0_cid_1,20181107_R04.czi,7,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-08-P61-B04_seg_0_cid_2,20181107_R04.czi,7,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-09-P55-B04_seg_0_cid_1,20181107_R04.czi,8,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-10-P60-B04_seg_0_cid_1,20181107_R04.czi,9,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-10-P60-B04_seg_0_cid_2,20181107_R04.czi,9,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-10-P60-B04_seg_0_cid_3,20181107_R04.czi,9,3,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-11-P58-B04_seg_0_cid_1,20181107_R04.czi,10,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-11-P58-B04_seg_0_cid_2,20181107_R04.czi,10,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-13-P57-B04_seg_0_cid_1,20181107_R04.czi,12,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-13-P57-B04_seg_0_cid_2,20181107_R04.czi,12,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-14-P59-B04_seg_0_cid_1,20181107_R04.czi,13,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-14-P59-B04_seg_0_cid_2,20181107_R04.czi,13,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-14-P59-B04_seg_0_cid_3,20181107_R04.czi,13,3,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-15-P56-B04_seg_0_cid_1,20181107_R04.czi,14,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-15-P56-B04_seg_0_cid_2,20181107_R04.czi,14,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-15-P56-B04_seg_0_cid_3,20181107_R04.czi,14,3,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-15-P56-B04_seg_0_cid_4,20181107_R04.czi,14,4,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-16-P65-B04_seg_0_cid_1,20181107_R04.czi,15,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-16-P65-B04_seg_0_cid_2,20181107_R04.czi,15,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-17-P69-B04_seg_0_cid_1,20181107_R04.czi,16,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-18-P66-B04_seg_0_cid_1,20181107_R04.czi,17,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-18-P66-B04_seg_0_cid_2,20181107_R04.czi,17,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-19-P68-B04_seg_0_cid_1,20181107_R04.czi,18,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-19-P68-B04_seg_0_cid_2,20181107_R04.czi,18,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-20-P67-B04_seg_0_cid_1,20181107_R04.czi,19,1,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-20-P67-B04_seg_0_cid_2,20181107_R04.czi,19,2,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181107_R04-Scene-20-P67-B04_seg_0_cid_3,20181107_R04.czi,19,3,TSA-50um,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-1-P1_seg_0_cid_1,20181003_M01_001.czi,0,1,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-1-P1_seg_0_cid_2,20181003_M01_001.czi,0,2,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-1-P1_seg_0_cid_3,20181003_M01_001.czi,0,3,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-2-P2_seg_0_cid_1,20181003_M01_001.czi,1,1,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-2-P2_seg_0_cid_2,20181003_M01_001.czi,1,2,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-2-P2_seg_0_cid_3,20181003_M01_001.czi,1,3,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-2-P2_seg_0_cid_4,20181003_M01_001.czi,1,4,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-3-P3_seg_0_cid_1,20181003_M01_001.czi,2,1,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-3-P3_seg_0_cid_2,20181003_M01_001.czi,2,2,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-3-P3_seg_0_cid_3,20181003_M01_001.czi,2,3,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-4-P4_seg_0_cid_1,20181003_M01_001.czi,3,1,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-4-P4_seg_0_cid_2,20181003_M01_001.czi,3,2,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-4-P4_seg_0_cid_3,20181003_M01_001.czi,3,3,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-4-P4_seg_0_cid_4,20181003_M01_001.czi,3,4,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-4-P4_seg_0_cid_5,20181003_M01_001.czi,3,5,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-5-P29-E03_seg_0_cid_1,20181003_M01_001.czi,4,1,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-5-P29-E03_seg_0_cid_2,20181003_M01_001.czi,4,2,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-5-P29-E03_seg_0_cid_3,20181003_M01_001.czi,4,3,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-5-P29-E03_seg_0_cid_4,20181003_M01_001.czi,4,4,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-6-P30-E03_seg_0_cid_1,20181003_M01_001.czi,5,1,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-6-P30-E03_seg_0_cid_2,20181003_M01_001.czi,5,2,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-6-P30-E03_seg_0_cid_3,20181003_M01_001.czi,5,3,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-6-P30-E03_seg_0_cid_4,20181003_M01_001.czi,5,4,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-7-P28-E03_seg_0_cid_1,20181003_M01_001.czi,6,1,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-7-P28-E03_seg_0_cid_2,20181003_M01_001.czi,6,2,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-7-P28-E03_seg_0_cid_3,20181003_M01_001.czi,6,3,Control,cardiomyocyte,H2B,ZSD,no
20181003_M01_001-Scene-7-P28-E03_seg_0_cid_4,20181003_M01_001.czi,6,4,Control,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-01-P82-B05_seg_0_cid_1,20181107_R05.czi,0,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-01-P82-B05_seg_0_cid_2,20181107_R05.czi,0,2,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-01-P82-B05_seg_0_cid_3,20181107_R05.czi,0,3,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-01-P82-B05_seg_0_cid_4,20181107_R05.czi,0,4,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-01-P82-B05_seg_0_cid_5,20181107_R05.czi,0,5,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-01-P82-B05_seg_0_cid_6,20181107_R05.czi,0,6,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-02-P80-B05_seg_0_cid_1,20181107_R05.czi,1,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-02-P80-B05_seg_0_cid_2,20181107_R05.czi,1,2,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-03-P78-B05_seg_0_cid_1,20181107_R05.czi,2,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-03-P78-B05_seg_0_cid_2,20181107_R05.czi,2,2,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-03-P78-B05_seg_0_cid_3,20181107_R05.czi,2,3,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-04-P72-B05_seg_0_cid_1,20181107_R05.czi,3,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-04-P72-B05_seg_0_cid_2,20181107_R05.czi,3,2,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-05-P74-B05_seg_0_cid_1,20181107_R05.czi,4,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-05-P74-B05_seg_0_cid_2,20181107_R05.czi,4,2,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-05-P74-B05_seg_0_cid_3,20181107_R05.czi,4,3,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-05-P74-B05_seg_0_cid_4,20181107_R05.czi,4,4,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-05-P74-B05_seg_0_cid_5,20181107_R05.czi,4,5,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-05-P74-B05_seg_0_cid_6,20181107_R05.czi,4,6,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-06-P71-B05_seg_0_cid_1,20181107_R05.czi,5,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-06-P71-B05_seg_0_cid_2,20181107_R05.czi,5,2,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-06-P71-B05_seg_0_cid_3,20181107_R05.czi,5,3,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-06-P71-B05_seg_0_cid_4,20181107_R05.czi,5,4,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-07-P77-B05_seg_0_cid_1,20181107_R05.czi,6,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-08-P83-B05_seg_0_cid_1,20181107_R05.czi,7,1,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-08-P83-B05_seg_0_cid_2,20181107_R05.czi,7,2,DMSO,cardiomyocyte,H2B,ZSD,no
20181107_R05-Scene-08-P83-B05_seg_0_cid_3,20181107_R05.czi,7,3,DMSO,cardiomyocyte,H2B,ZSD,no
