experiment_id;cell_type;structure;modality;pixel_size_xy;pixel_size_z;xy_upsample_seg;condition;minipipeline;force_single_scene;raw_name;raw_path;seg_path
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-01-P12-A01.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-02-P13-A01.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-03-P14-A01.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-04-P15-A01.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-05-P1-A01.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-06-P36-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-07-P37-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-08-P19-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-09-P35-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-10-P18-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-11-P17-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-12-P21-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-13-P38-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-14-P34-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-15-P40-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-16-P24-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-17-P33-A02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-18-P11.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-19-P10.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R01-Scene-20-P25.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R01/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-01-P78.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-02-P93-B02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-03-P92-B02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-04-P91-B02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-05-P90-B02.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-06-P88-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-07-P73-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-08-P71-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-09-P74-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-10-P75-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-11-P85-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-12-P76-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-13-P68-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-14-P77-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
